depth,baseline_mean,baseline_std,baseline_n,llm_mean,llm_std,llm_n
1,3.1333333333333333,5.4361517668058195,525,7.64,4.8322251603169315,25
2,5.20952380952381,6.5678803395155585,525,7.0,7.730459236035075,25
3,4.76,6.162213578778018,525,6.8,7.08801805866774,25
4,5.396190476190476,6.6443807093917995,525,10.44,8.542037227734378,25
5,5.567619047619048,6.786941175635896,525,10.04,5.5891323119067415,25
6,5.653333333333333,6.699666895296849,525,10.56,7.751541782123089,25
7,5.755952380952381,6.891302049267639,504,11.208333333333334,9.0552892769303,24
8,6.380952380952381,7.016207640580564,462,12.045454545454545,8.053668123776513,22
9,6.414285714285715,6.700020306599342,210,12.0,9.969954864491614,10
10,6.333333333333333,6.434036477735062,126,16.333333333333332,8.013876853447538,6
11,5.119047619047619,5.141809858092775,42,8.5,2.5,2
12,5.0476190476190474,5.232464506067503,21,20.0,0.0,1
13,8.904761904761905,7.933682036582785,21,15.0,0.0,1
