qid,docid,llm_grade,systems,model
31_1,MARCO_1905581,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
31_1,MARCO_2231504,1,gpt-4o-mini,gpt-4o-2024-08-06
31_1,MARCO_2231507,1,gpt-4o-mini,gpt-4o-2024-08-06
31_1,MARCO_2925873,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
31_1,MARCO_3705887,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
31_1,MARCO_4976184,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_1,MARCO_4976186,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_1,MARCO_7069065,1,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_1,MARCO_7537010,1,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_2,CAR_32647f1646f93bfd9bb26182a68227758c0332dc,0,raw,gpt-4o-2024-08-06
31_2,CAR_7e7f7d923e6149918764b05ab328cb54c25aab62,1,raw,gpt-4o-2024-08-06
31_2,CAR_a845ba92314cc11b89a23753e72938dc002250b0,0,raw,gpt-4o-2024-08-06
31_2,MARCO_3034024,0,raw,gpt-4o-2024-08-06
31_2,MARCO_3034031,0,raw,gpt-4o-2024-08-06
31_2,MARCO_4483445,0,raw,gpt-4o-2024-08-06
31_2,MARCO_4806104,0,raw,gpt-4o-2024-08-06
31_2,MARCO_4976182,2,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_2,MARCO_5488481,0,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_2,MARCO_5995317,0,quretec,gpt-4o-2024-08-06
31_2,MARCO_6116397,0,raw,gpt-4o-2024-08-06
31_2,MARCO_6739608,0,raw,gpt-4o-2024-08-06
31_2,MARCO_7364331,3,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_2,MARCO_7536007,0,quretec,gpt-4o-2024-08-06
31_3,MARCO_1373522,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_291004,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_3090847,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_3962523,4,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_3,MARCO_3990603,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_4496599,2,human|quretec|raw|t5,gpt-4o-2024-08-06
31_3,MARCO_5107707,4,human|quretec|raw|t5,gpt-4o-2024-08-06
31_3,MARCO_5289784,3,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_3,MARCO_5879919,3,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_3,MARCO_5990560,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_6909900,3,human|raw|t5,gpt-4o-2024-08-06
31_3,MARCO_7103364,4,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_3,MARCO_7606760,3,quretec,gpt-4o-2024-08-06
31_3,MARCO_7972824,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_3,MARCO_8046971,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_4,MARCO_1350169,0,raw,gpt-4o-2024-08-06
31_4,MARCO_1514920,0,raw,gpt-4o-2024-08-06
31_4,MARCO_1556174,0,raw,gpt-4o-2024-08-06
31_4,MARCO_3344757,0,raw,gpt-4o-2024-08-06
31_4,MARCO_4060752,0,raw,gpt-4o-2024-08-06
31_4,MARCO_4982907,4,gpt-4o|human|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_4,MARCO_558908,4,gpt-4o|human|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_4,MARCO_6011013,0,raw,gpt-4o-2024-08-06
31_4,MARCO_6531608,0,raw,gpt-4o-2024-08-06
31_4,MARCO_7207084,0,raw,gpt-4o-2024-08-06
31_4,MARCO_745277,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
31_4,MARCO_7672896,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
31_4,MARCO_8025747,4,gpt-4o|human|llama-3.3-70b-versatile|quretec|t5,gpt-4o-2024-08-06
31_4,MARCO_8514248,0,raw,gpt-4o-2024-08-06
31_5,MARCO_1317525,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_2397745,0,raw,gpt-4o-2024-08-06
31_5,MARCO_2511316,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_2585712,1,gpt-4o|gpt-4o-mini|human|llama-3.3-70b-versatile|quretec|t5,gpt-4o-2024-08-06
31_5,MARCO_304632,0,raw,gpt-4o-2024-08-06
31_5,MARCO_3519906,0,raw,gpt-4o-2024-08-06
31_5,MARCO_3617658,0,raw,gpt-4o-2024-08-06
31_5,MARCO_4139589,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_4152519,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_4335460,0,raw,gpt-4o-2024-08-06
31_5,MARCO_4617768,0,raw,gpt-4o-2024-08-06
31_5,MARCO_4965872,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_6354592,0,raw,gpt-4o-2024-08-06
31_5,MARCO_6354596,0,raw,gpt-4o-2024-08-06
31_5,MARCO_6373305,0,raw,gpt-4o-2024-08-06
31_5,MARCO_6697132,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_5,MARCO_7434757,0,raw,gpt-4o-2024-08-06
31_5,MARCO_7513928,1,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|quretec|t5,gpt-4o-2024-08-06
31_5,MARCO_780218,0,gpt-4o|gpt-4o-mini|human|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
31_6,CAR_86bbbf7cc2b28ac642d666ff09dbbe85d047924d,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_6,MARCO_1585148,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_6,MARCO_1678875,4,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
31_6,MARCO_2152203,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_6,MARCO_291003,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_6,MARCO_3379755,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
31_6,MARCO_8168661,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
